Päivämäärä;Auroransilta;Eteläesplanadi;Huopalahti (asema);Kaisaniemi/Eläintarhanlahti;Kaivokatu;Kulosaaren silta et.;Kulosaaren silta po. ;Kuusisaarentie;Käpylä - Pohjoisbaana;Lauttasaaren silta eteläpuoli;Merikannontie;Munkkiniemen silta eteläpuoli;Munkkiniemi silta pohjoispuoli;Heperian puisto/Ooppera;Pitkäsilta itäpuoli;Pitkäsilta länsipuoli;Lauttasaaren silta pohjoispuoli;Ratapihantie;Viikintie;Baana
pe 4 tammi 2019 17:00;41;17;45;35;42;3;23;28;35;87;37;43;17;88;42;15;;67;12;89
pe 4 tammi 2019 18:00;22;12;18;15;37;4;17;16;15;54;27;23;5;46;33;14;;23;10;51
pe 4 tammi 2019 19:00;6;10;9;11;20;1;14;16;10;41;12;15;3;25;16;10;;18;3;22
pe 4 tammi 2019 20:00;9;4;13;5;13;3;6;8;6;31;10;6;4;18;17;7;;9;8;18
pe 4 tammi 2019 21:00;3;0;10;1;9;1;3;6;2;11;9;8;3;13;12;8;;10;6;14
pe 4 tammi 2019 22:00;4;0;4;3;6;0;4;0;1;8;4;2;0;5;3;3;;6;4;5
pe 4 tammi 2019 23:00;2;2;1;2;5;0;2;2;2;4;4;1;1;7;0;2;;7;0;4
la 5 tammi 2019 00:00;1;2;0;0;3;0;3;1;1;0;3;2;2;5;1;1;;1;2;2
la 5 tammi 2019 01:00;0;1;1;0;4;0;2;2;0;3;0;1;0;2;4;7;;0;0;1
la 5 tammi 2019 02:00;2;0;0;1;0;0;4;0;0;0;1;0;0;2;1;0;;0;0;2
la 5 tammi 2019 03:00;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;2;;1;3;2
la 5 tammi 2019 04:00;0;0;0;1;1;0;0;0;1;1;1;1;0;1;0;0;;1;0;0
la 5 tammi 2019 05:00;0;0;0;0;2;0;0;2;3;5;0;1;0;0;3;2;;3;0;2
la 5 tammi 2019 06:00;1;1;2;2;2;0;5;1;6;3;1;2;3;1;3;1;;8;3;10
la 5 tammi 2019 07:00;2;1;4;2;3;6;7;0;4;4;4;2;0;11;5;6;;9;4;3
la 5 tammi 2019 08:00;3;1;2;1;6;1;2;2;5;7;4;4;3;6;3;2;;12;4;9
la 5 tammi 2019 09:00;10;4;3;5;11;3;5;2;4;39;10;9;4;15;15;7;;4;3;18
la 5 tammi 2019 10:00;9;0;7;4;14;2;8;9;5;24;13;8;5;12;7;11;;6;5;22
la 5 tammi 2019 11:00;17;9;9;5;18;4;4;3;6;24;10;3;7;20;14;13;;9;6;23
la 5 tammi 2019 12:00;9;1;6;5;20;1;14;8;7;40;14;6;5;21;16;14;;16;4;28
la 5 tammi 2019 13:00;15;13;8;10;22;2;15;24;8;32;21;14;11;27;18;15;;10;6;17
la 5 tammi 2019 14:00;24;9;10;20;35;5;14;7;12;29;20;9;6;28;27;20;;14;9;30
la 5 tammi 2019 15:00;20;8;13;11;22;3;19;11;9;31;21;12;7;26;13;10;;13;6;19
la 5 tammi 2019 16:00;12;1;8;8;22;2;7;6;7;23;12;2;6;15;11;14;;9;5;17
la 5 tammi 2019 17:00;8;4;9;8;17;1;7;5;3;23;12;3;5;24;15;18;;7;9;18
la 5 tammi 2019 18:00;4;11;3;8;22;2;8;3;1;17;8;8;2;13;17;13;;4;1;18
la 5 tammi 2019 19:00;7;4;3;3;12;1;5;3;5;10;7;3;1;17;5;5;;7;10;8
la 5 tammi 2019 20:00;3;4;4;3;14;0;1;1;3;4;7;1;0;10;13;8;;3;3;7
la 5 tammi 2019 21:00;2;2;2;4;4;0;6;1;1;2;9;1;4;10;5;3;;4;3;6
la 5 tammi 2019 22:00;3;6;2;3;9;1;4;0;2;2;2;0;2;9;7;5;;4;5;9
la 5 tammi 2019 23:00;0;5;1;3;7;0;1;4;0;1;2;0;1;5;4;4;;2;3;4
su 6 tammi 2019 00:00;0;0;0;1;6;0;2;1;1;0;1;1;1;2;1;3;;1;4;2
su 6 tammi 2019 01:00;0;1;0;1;2;0;2;0;0;4;1;0;0;2;4;3;;1;1;5
su 6 tammi 2019 02:00;1;1;1;1;0;0;0;0;0;0;2;1;0;1;1;2;;0;0;1
su 6 tammi 2019 03:00;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;;1;0;1
su 6 tammi 2019 04:00;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;;0;0;0
su 6 tammi 2019 05:00;0;1;1;1;0;0;2;0;1;2;0;0;1;2;1;1;;1;0;1
su 6 tammi 2019 06:00;4;2;5;0;1;0;5;1;5;1;1;2;2;3;1;0;;11;3;4
su 6 tammi 2019 07:00;2;1;1;1;3;1;2;1;3;9;4;1;0;5;1;0;;4;2;2
su 6 tammi 2019 08:00;1;0;2;1;2;1;5;1;0;3;4;4;0;8;2;0;;3;1;3
su 6 tammi 2019 09:00;2;2;5;5;1;1;4;6;3;13;5;2;5;6;6;3;;4;2;10
su 6 tammi 2019 10:00;10;3;14;5;10;2;7;7;9;14;5;8;3;9;9;4;;11;10;18
su 6 tammi 2019 11:00;11;3;4;4;21;1;4;7;7;24;6;4;8;13;14;10;;8;8;17
su 6 tammi 2019 12:00;13;2;11;8;17;2;12;12;20;32;20;10;8;21;11;7;;13;3;22
su 6 tammi 2019 13:00;17;3;6;6;20;2;16;8;7;34;8;10;4;21;16;15;;7;6;25
su 6 tammi 2019 14:00;15;9;11;2;13;2;12;11;15;35;19;6;9;31;18;5;;12;4;30
su 6 tammi 2019 15:00;12;4;11;10;21;3;15;13;5;35;19;9;7;22;15;8;;9;6;26
