Päivämäärä;Auroransilta;Eteläesplanadi;Huopalahti (asema);Kaisaniemi/Eläintarhanlahti;Kaivokatu;Kulosaaren silta et.;Kulosaaren silta po. ;Kuusisaarentie;Käpylä - Pohjoisbaana;Lauttasaaren silta eteläpuoli;Merikannontie;Munkkiniemen silta eteläpuoli;Munkkiniemi silta pohjoispuoli;Heperian puisto/Ooppera;Pitkäsilta itäpuoli;Pitkäsilta länsipuoli;Lauttasaaren silta pohjoispuoli;Ratapihantie;Viikintie;Baana
ti 18 kesä 2019 15:00;252;;284;238;472;87;258;231;349;369;335;258;138;520;342;153;0;362;;496
ti 18 kesä 2019 16:00;390;;463;367;716;122;420;371;269;749;526;403;201;848;545;219;0;510;;759
ti 18 kesä 2019 17:00;376;;339;322;652;138;355;310;177;688;509;323;152;853;509;227;0;359;;689
ti 18 kesä 2019 18:00;276;;218;216;485;90;269;229;114;552;393;244;123;652;388;168;0;229;;483
ti 18 kesä 2019 19:00;192;;140;180;343;80;185;157;93;418;398;223;109;496;256;165;0;141;;385
ti 18 kesä 2019 20:00;150;;112;123;265;75;162;136;66;358;278;206;76;376;213;128;0;111;;268
ti 18 kesä 2019 21:00;75;;64;69;169;42;122;87;44;242;203;125;76;266;148;90;0;91;;183
ti 18 kesä 2019 22:00;35;;50;73;129;25;52;47;18;115;84;61;36;126;88;61;0;56;;111
ti 18 kesä 2019 23:00;29;0;25;22;115;24;51;10;10;65;29;25;13;69;104;68;0;40;;80
ke 19 kesä 2019 00:00;5;;7;6;47;7;31;8;4;41;11;10;13;33;29;41;0;8;;32
ke 19 kesä 2019 01:00;4;;1;10;19;2;11;5;3;22;4;7;1;14;15;30;0;5;;16
ke 19 kesä 2019 02:00;0;;1;4;13;4;5;1;4;10;2;5;5;14;13;29;0;9;;4
ke 19 kesä 2019 03:00;1;;5;4;10;5;6;1;2;4;3;1;2;7;12;7;0;5;;8
ke 19 kesä 2019 04:00;1;;9;1;19;4;9;3;21;14;1;0;0;5;8;15;0;8;;11
ke 19 kesä 2019 05:00;12;;35;19;24;12;25;18;132;22;20;15;5;20;15;10;0;39;;40
ke 19 kesä 2019 06:00;101;;174;69;126;43;159;93;269;193;118;126;49;107;70;31;0;200;;196
ke 19 kesä 2019 07:00;293;;399;215;323;89;303;250;313;459;330;332;113;374;218;65;0;443;;468
ke 19 kesä 2019 08:00;401;;345;326;586;113;365;324;129;747;428;365;126;773;421;127;0;420;;737
ke 19 kesä 2019 09:00;205;;131;196;399;42;168;161;63;366;220;172;65;539;308;103;0;193;;473
ke 19 kesä 2019 10:00;93;;70;93;250;33;123;76;50;211;133;95;47;301;180;94;0;112;;241
ke 19 kesä 2019 11:00;84;;72;101;254;24;103;86;57;199;144;90;52;261;185;94;0;79;;216
ke 19 kesä 2019 12:00;93;;64;101;293;32;102;91;84;213;160;102;46;258;214;106;0;99;;249
ke 19 kesä 2019 13:00;112;;68;108;283;30;81;95;79;215;156;70;60;371;202;102;0;113;;269
ke 19 kesä 2019 14:00;127;;94;134;315;36;138;124;201;195;212;118;76;292;245;115;0;130;;276
ke 19 kesä 2019 15:00;252;;266;236;471;68;244;217;290;431;336;238;131;461;349;158;0;355;;486
ke 19 kesä 2019 16:00;373;;402;332;682;109;385;294;247;648;433;371;153;746;466;207;0;410;;672
ke 19 kesä 2019 17:00;326;;320;315;670;92;327;299;136;621;428;328;150;813;446;232;0;349;;659
ke 19 kesä 2019 18:00;220;;170;198;422;65;219;181;105;462;352;218;102;604;385;159;0;160;;472
ke 19 kesä 2019 19:00;166;;139;135;358;38;154;127;78;367;277;168;114;451;227;154;0;129;;361
ke 19 kesä 2019 20:00;120;;112;128;281;45;153;102;71;329;239;152;91;338;220;111;0;128;;283
ke 19 kesä 2019 21:00;69;;65;70;187;23;114;84;44;253;164;122;67;245;121;92;0;93;;191
ke 19 kesä 2019 22:00;34;;55;63;118;21;53;36;23;134;95;65;48;165;88;74;0;68;;121
ke 19 kesä 2019 23:00;28;;19;31;81;10;44;12;9;88;47;31;37;102;47;64;0;29;;62
to 20 kesä 2019 00:00;8;;8;17;57;4;31;11;2;51;20;21;7;39;41;62;0;13;;35
to 20 kesä 2019 01:00;4;;1;3;31;7;12;2;3;25;9;8;6;25;23;47;0;4;;20
to 20 kesä 2019 02:00;4;;1;7;19;2;7;3;4;19;2;10;4;22;20;24;0;4;;12
to 20 kesä 2019 03:00;2;;3;7;13;6;5;2;3;10;3;4;4;4;15;22;0;1;;5
to 20 kesä 2019 04:00;3;;8;6;5;4;10;7;19;10;5;0;1;8;16;18;0;11;;13
to 20 kesä 2019 05:00;14;0;28;10;23;17;33;16;110;20;18;14;5;13;26;18;0;32;;40
to 20 kesä 2019 06:00;64;0;136;49;93;33;113;60;191;128;111;133;43;81;66;29;0;172;;167
to 20 kesä 2019 07:00;212;0;282;152;197;61;216;191;213;339;243;268;106;249;147;54;0;314;;350
to 20 kesä 2019 08:00;316;0;258;249;422;88;280;246;91;519;282;279;102;541;331;88;0;304;;560
to 20 kesä 2019 09:00;158;;97;130;306;36;130;103;40;322;178;151;50;423;234;97;0;128;;399
to 20 kesä 2019 10:00;98;;83;83;213;16;101;67;42;184;123;69;43;248;128;60;0;91;;201
to 20 kesä 2019 11:00;110;;52;81;232;18;95;58;61;207;118;85;52;227;168;102;0;76;;209
to 20 kesä 2019 12:00;108;;63;92;287;33;108;75;69;175;137;92;64;234;214;110;0;73;;125
to 20 kesä 2019 13:00;125;;97;108;298;48;107;89;127;233;187;109;64;291;202;120;0;95;;272
to 20 kesä 2019 14:00;146;;143;167;379;43;166;127;217;324;248;162;102;332;256;118;0;192;;346
to 20 kesä 2019 15:00;240;;282;220;478;69;267;223;169;475;350;264;136;489;351;177;0;284;;484
to 20 kesä 2019 16:00;242;;264;247;472;76;246;237;123;452;329;226;134;542;341;171;0;269;;472
to 20 kesä 2019 17:00;165;;124;164;346;56;188;121;58;371;254;167;87;459;251;141;0;158;;363
to 20 kesä 2019 18:00;129;;91;113;292;38;128;85;49;279;171;99;75;309;215;126;0;83;;265
to 20 kesä 2019 19:00;102;;65;82;208;27;115;92;50;204;180;95;67;259;168;113;0;58;;203
to 20 kesä 2019 20:00;75;;53;70;178;19;103;55;42;198;165;95;63;242;128;105;0;68;;168
to 20 kesä 2019 21:00;48;;34;43;128;19;61;43;28;132;109;65;39;184;77;83;0;55;;148
to 20 kesä 2019 22:00;31;;37;37;103;13;50;32;18;78;90;41;24;127;75;70;0;42;;100
to 20 kesä 2019 23:00;9;;16;23;55;8;25;4;9;49;38;14;13;92;46;61;0;31;;58
pe 21 kesä 2019 00:00;8;;10;12;51;6;21;3;1;49;10;16;10;53;45;44;0;15;;40
pe 21 kesä 2019 01:00;6;;6;7;38;7;6;2;2;34;5;1;3;25;25;40;0;6;;10
pe 21 kesä 2019 02:00;0;;6;5;30;2;13;3;2;12;6;7;4;12;15;34;0;3;;13
pe 21 kesä 2019 03:00;3;0;2;10;7;0;7;1;1;7;2;3;1;2;8;13;0;2;;4
pe 21 kesä 2019 04:00;2;0;4;4;10;3;5;1;1;7;1;2;2;6;10;9;0;2;;1
pe 21 kesä 2019 05:00;5;0;5;1;14;1;5;5;18;12;6;7;7;14;7;7;0;7;;17
pe 21 kesä 2019 06:00;13;0;21;7;16;4;21;4;18;13;23;27;10;25;15;7;0;21;;28
pe 21 kesä 2019 07:00;15;;20;11;18;3;19;7;15;35;26;17;13;26;14;10;0;35;;30
pe 21 kesä 2019 08:00;30;;27;21;32;8;32;15;22;48;24;21;10;44;27;17;0;21;;60
pe 21 kesä 2019 09:00;65;;23;27;58;13;51;43;25;86;57;31;21;78;42;36;0;32;;82
pe 21 kesä 2019 10:00;78;;38;46;93;22;58;44;19;127;120;42;33;121;88;40;0;36;;96
pe 21 kesä 2019 11:00;106;;58;51;116;30;95;59;49;150;120;43;27;137;111;68;0;37;;113
pe 21 kesä 2019 12:00;86;;55;57;130;32;96;77;45;171;172;75;30;161;137;83;0;57;;160
pe 21 kesä 2019 13:00;97;;53;58;176;38;126;77;48;169;160;75;49;206;128;60;0;74;;156
pe 21 kesä 2019 14:00;112;;72;58;151;29;118;75;43;171;169;65;45;202;103;62;0;77;;163
pe 21 kesä 2019 15:00;79;;51;57;131;19;99;58;49;182;199;57;55;204;97;107;0;59;;147
pe 21 kesä 2019 16:00;74;;45;64;150;35;117;79;33;175;184;69;34;177;89;76;0;56;;150
pe 21 kesä 2019 17:00;52;;43;56;157;38;104;59;29;130;200;68;40;163;64;67;0;52;;124
pe 21 kesä 2019 18:00;33;;46;37;133;38;105;59;21;119;179;63;33;127;93;66;0;38;;105
pe 21 kesä 2019 19:00;33;;25;64;148;27;161;42;23;146;160;41;39;110;75;91;0;42;;100
pe 21 kesä 2019 20:00;45;;26;38;105;26;151;42;40;116;138;57;28;98;67;72;0;32;;106
pe 21 kesä 2019 21:00;34;;29;52;103;7;147;54;15;107;152;45;19;125;62;63;0;50;;85
pe 21 kesä 2019 22:00;9;;24;32;91;20;117;30;11;112;110;30;32;85;45;69;0;23;;37
pe 21 kesä 2019 23:00;15;0;9;21;86;12;124;17;9;64;77;21;22;63;50;72;0;12;;63
la 22 kesä 2019 00:00;16;0;11;13;87;7;111;15;4;47;45;27;9;53;85;78;0;14;;45
la 22 kesä 2019 01:00;14;0;9;9;40;5;55;7;6;49;21;15;9;32;67;57;0;5;;33
la 22 kesä 2019 02:00;12;0;13;17;51;8;45;3;0;25;14;6;9;19;45;52;0;8;;25
la 22 kesä 2019 03:00;3;0;5;16;22;6;12;5;4;15;10;8;6;15;25;27;0;3;;18
la 22 kesä 2019 04:00;8;0;4;12;25;7;20;2;4;21;2;2;8;22;19;28;0;1;;18
la 22 kesä 2019 05:00;4;0;7;6;38;5;7;3;12;13;5;3;1;8;21;16;0;6;;22
la 22 kesä 2019 06:00;6;0;13;4;21;0;17;6;12;13;30;16;11;23;11;12;0;27;;23
la 22 kesä 2019 07:00;9;0;15;5;12;2;13;14;11;12;22;21;14;14;12;11;0;20;;14
la 22 kesä 2019 08:00;12;0;13;3;24;5;22;9;11;26;23;24;7;19;14;10;0;9;;26
la 22 kesä 2019 09:00;13;0;9;11;19;5;16;5;8;27;14;12;4;18;15;5;0;12;;28
la 22 kesä 2019 10:00;28;0;24;23;28;8;24;17;27;46;63;15;7;45;27;23;0;17;;42
la 22 kesä 2019 11:00;38;;39;39;94;13;61;59;34;82;73;29;14;69;54;27;0;36;;73
la 22 kesä 2019 12:00;82;;52;47;98;23;70;67;35;136;134;52;23;128;49;48;0;41;;106
la 22 kesä 2019 13:00;72;;27;34;125;20;93;70;41;119;161;63;38;157;69;59;0;40;;133
la 22 kesä 2019 14:00;84;0;47;54;159;17;81;58;62;153;193;74;45;180;79;69;0;61;;147
la 22 kesä 2019 15:00;68;0;45;42;141;20;85;66;22;140;183;59;47;161;101;81;0;70;;139
la 22 kesä 2019 16:00;45;0;35;43;106;23;85;42;22;108;102;45;31;134;64;59;0;27;;78
la 22 kesä 2019 17:00;59;0;36;40;123;21;56;45;25;112;111;47;19;141;63;61;0;31;;123
la 22 kesä 2019 18:00;53;0;40;37;95;15;67;41;24;119;121;35;27;123;61;57;0;34;;118
la 22 kesä 2019 19:00;80;0;33;37;94;22;39;45;17;111;98;46;37;129;58;60;0;35;;78
la 22 kesä 2019 20:00;39;0;36;23;108;11;74;35;16;103;81;34;38;103;67;53;0;22;;78
la 22 kesä 2019 21:00;26;0;18;29;78;17;42;30;14;99;77;33;17;80;51;40;0;24;;70
la 22 kesä 2019 22:00;10;0;12;25;62;6;35;21;1;58;69;24;15;76;35;46;0;15;;55
la 22 kesä 2019 23:00;7;0;10;19;53;13;20;7;4;46;21;22;7;47;40;44;0;7;;30
su 23 kesä 2019 00:00;8;0;4;12;25;7;23;8;6;26;17;13;2;29;39;36;0;7;;32
su 23 kesä 2019 01:00;4;0;2;1;37;6;12;1;1;15;12;8;7;21;16;31;0;10;;14
su 23 kesä 2019 02:00;3;0;0;1;28;6;6;1;0;14;3;5;2;18;17;36;0;3;;20
su 23 kesä 2019 03:00;1;0;5;3;15;1;3;2;0;6;3;4;1;18;11;11;0;0;;7
su 23 kesä 2019 04:00;3;0;4;2;18;3;7;0;1;11;6;4;1;10;8;23;0;4;;8
su 23 kesä 2019 05:00;2;0;5;2;21;3;3;6;12;12;3;5;1;7;7;10;0;4;;7
su 23 kesä 2019 06:00;4;0;16;6;53;1;15;11;10;14;20;17;7;6;7;8;0;17;;17
su 23 kesä 2019 07:00;11;0;18;4;13;2;18;10;8;12;17;9;8;15;7;9;0;11;;16
su 23 kesä 2019 08:00;13;0;9;6;20;6;14;14;17;26;20;18;11;21;16;13;0;11;;22
su 23 kesä 2019 09:00;27;0;24;16;31;10;27;26;35;50;39;20;15;43;25;9;0;18;;38
su 23 kesä 2019 10:00;59;39;55;31;55;18;76;48;32;80;65;38;23;84;58;30;0;56;;95
su 23 kesä 2019 11:00;93;57;40;49;113;33;96;64;53;147;133;48;24;143;80;48;0;42;;116
su 23 kesä 2019 12:00;101;55;51;56;129;30;96;89;46;187;154;56;46;199;93;50;0;65;;160
su 23 kesä 2019 13:00;131;78;50;64;172;23;118;99;54;197;185;102;49;220;120;68;0;56;;189
su 23 kesä 2019 14:00;95;;64;70;167;26;124;97;53;219;211;89;40;240;124;91;0;86;;162
su 23 kesä 2019 15:00;108;;64;49;175;42;121;83;37;219;238;95;38;232;107;90;0;68;;167
su 23 kesä 2019 16:00;102;;71;76;170;22;115;83;48;184;182;73;39;218;117;72;0;56;;175
su 23 kesä 2019 17:00;99;;80;67;167;13;126;89;42;202;183;98;44;214;127;68;0;60;;174
su 23 kesä 2019 18:00;100;;53;72;177;34;102;68;42;181;186;76;44;250;123;79;0;46;;187
su 23 kesä 2019 19:00;64;;51;45;135;29;99;76;41;165;144;87;48;171;81;73;0;68;;159
su 23 kesä 2019 20:00;44;;50;33;79;16;73;39;30;116;103;51;34;118;58;52;0;43;;124
su 23 kesä 2019 21:00;23;;30;27;56;19;42;33;20;85;82;43;29;108;54;57;0;54;;113
su 23 kesä 2019 22:00;10;;19;8;42;9;20;13;3;37;30;27;17;67;43;37;0;25;;60
su 23 kesä 2019 23:00;5;0;7;17;35;2;17;7;3;18;8;5;10;35;28;31;0;8;;27
ma 24 kesä 2019 00:00;1;0;7;8;23;6;21;3;3;15;3;11;6;15;14;16;0;10;;20
ma 24 kesä 2019 01:00;0;0;1;0;9;2;2;2;0;11;3;0;2;9;7;8;0;4;;5
ma 24 kesä 2019 02:00;0;0;1;1;6;6;10;6;0;7;2;2;2;4;5;15;0;0;;2
ma 24 kesä 2019 03:00;2;0;0;4;1;3;5;1;1;7;2;3;3;8;4;3;0;0;;2
ma 24 kesä 2019 04:00;0;0;9;1;6;2;13;3;20;14;1;3;1;4;10;6;0;5;;11
ma 24 kesä 2019 05:00;10;0;36;10;14;7;27;21;126;19;20;19;5;12;12;10;0;36;;35
ma 24 kesä 2019 06:00;79;0;145;55;86;35;139;79;241;123;110;112;46;92;76;24;0;169;;168
ma 24 kesä 2019 07:00;259;0;350;173;226;66;272;248;259;388;278;312;105;277;162;63;0;381;;400
ma 24 kesä 2019 08:00;333;0;348;265;432;105;339;317;120;616;368;328;103;616;333;91;0;388;;665
ma 24 kesä 2019 09:00;185;;140;171;350;53;176;132;52;408;215;182;49;501;283;89;0;179;;450
ma 24 kesä 2019 10:00;102;;61;77;193;20;77;93;32;209;94;75;37;252;148;58;0;69;;216
ma 24 kesä 2019 11:00;92;;60;55;249;35;92;70;53;169;127;65;35;214;167;80;0;85;;167
ma 24 kesä 2019 12:00;77;;53;85;251;39;90;84;49;178;142;72;44;209;190;100;0;56;;203
ma 24 kesä 2019 13:00;89;;68;91;247;29;128;71;58;198;133;91;52;240;171;92;0;82;;229
ma 24 kesä 2019 14:00;117;;89;96;273;39;99;60;167;232;173;103;51;286;218;109;0;105;;250
ma 24 kesä 2019 15:00;216;;243;185;384;54;204;168;253;344;323;243;120;410;301;123;0;286;;452
ma 24 kesä 2019 16:00;338;;406;289;638;111;349;320;237;647;436;326;184;706;502;192;0;387;;692
ma 24 kesä 2019 17:00;326;;314;274;639;113;302;275;127;608;407;291;145;774;464;180;0;302;;634
ma 24 kesä 2019 18:00;229;;173;200;451;77;225;204;80;534;320;209;102;567;335;133;0;187;;481
ma 24 kesä 2019 19:00;169;;124;128;321;51;163;165;68;332;276;176;85;423;239;126;0;106;;340
ma 24 kesä 2019 20:00;122;;107;103;235;56;134;147;53;310;277;137;79;333;185;100;0;84;;302
ma 24 kesä 2019 21:00;57;;68;66;153;37;86;73;26;188;145;86;43;199;126;81;0;81;;177
ma 24 kesä 2019 22:00;31;;45;52;93;11;50;34;12;95;72;54;31;144;72;81;0;62;;89
ma 24 kesä 2019 23:00;18;0;10;22;37;11;34;9;5;50;20;16;13;56;27;41;0;33;;43
ti 25 kesä 2019 00:00;4;0;6;22;36;7;17;2;3;25;12;7;9;14;26;29;0;10;;23
ti 25 kesä 2019 01:00;3;0;3;6;15;1;4;3;9;9;1;7;2;6;17;25;0;5;;9
ti 25 kesä 2019 02:00;0;0;4;5;6;4;7;1;0;9;0;2;1;8;7;12;0;5;;8
ti 25 kesä 2019 03:00;2;0;2;2;3;0;5;1;2;4;0;2;0;4;4;3;0;2;;2
ti 25 kesä 2019 04:00;0;0;11;2;6;2;9;3;24;15;2;5;2;4;8;11;0;8;;11
ti 25 kesä 2019 05:00;12;0;35;14;22;9;27;11;121;24;22;15;7;21;16;8;0;36;;35
ti 25 kesä 2019 06:00;88;0;177;47;119;35;166;113;275;130;119;132;54;107;81;30;0;185;;208
ti 25 kesä 2019 07:00;286;0;396;194;263;87;291;259;288;396;340;374;134;328;189;57;0;417;;439
ti 25 kesä 2019 08:00;351;0;350;300;543;117;402;309;106;696;372;349;125;690;432;106;0;421;;696
ti 25 kesä 2019 09:00;175;0;150;202;370;60;165;158;47;337;191;173;68;529;320;81;0;170;;441
ti 25 kesä 2019 10:00;88;0;61;74;225;26;87;74;47;208;106;77;37;267;152;75;0;103;;239
ti 25 kesä 2019 11:00;113;0;60;93;252;36;80;66;53;189;141;73;55;244;180;109;0;72;;216
ti 25 kesä 2019 12:00;91;;51;81;234;24;103;66;63;188;138;78;54;231;191;108;0;70;;208
ti 25 kesä 2019 13:00;99;;83;102;282;22;113;78;73;183;123;65;53;236;188;85;0;75;;209
ti 25 kesä 2019 14:00;116;;97;126;277;38;131;74;181;216;171;116;65;275;199;120;0;132;;247
ti 25 kesä 2019 15:00;220;0;241;230;432;75;261;181;269;321;327;261;130;471;343;141;0;296;;422
ti 25 kesä 2019 16:00;329;0;405;319;645;100;410;297;227;536;447;383;177;733;464;183;0;413;;703
ti 25 kesä 2019 17:00;275;0;295;273;654;115;300;291;180;642;443;295;171;772;534;189;0;306;;647
ti 25 kesä 2019 18:00;255;0;205;218;441;83;223;212;128;475;309;240;115;649;305;172;0;204;;481
ti 25 kesä 2019 19:00;159;0;112;145;342;44;225;152;102;357;296;168;111;471;257;152;0;129;;368
ti 25 kesä 2019 20:00;106;0;104;96;270;38;129;112;59;295;224;153;81;317;176;103;0;130;;250
ti 25 kesä 2019 21:00;50;0;59;80;148;27;113;63;25;200;149;86;53;231;120;86;0;89;;193
ti 25 kesä 2019 22:00;17;0;22;23;77;22;55;27;15;91;51;39;33;104;65;48;0;44;;73
ti 25 kesä 2019 23:00;5;0;15;9;36;3;19;4;6;30;15;7;6;35;26;25;0;20;;27
ke 26 kesä 2019 00:00;5;0;5;17;17;3;8;8;1;8;4;10;4;13;16;19;0;6;;13
ke 26 kesä 2019 01:00;1;0;0;2;15;4;6;2;0;7;1;1;3;10;13;20;0;2;;6
ke 26 kesä 2019 02:00;0;0;2;1;5;1;5;1;1;1;1;2;1;4;4;13;0;2;;4
ke 26 kesä 2019 03:00;0;0;2;4;1;1;8;1;2;5;3;0;1;7;3;3;0;5;;3
ke 26 kesä 2019 04:00;0;0;8;4;38;4;3;2;19;7;5;9;1;3;5;10;0;7;;12
ke 26 kesä 2019 05:00;12;0;25;13;32;6;22;12;83;14;19;13;5;18;15;7;0;28;;30
ke 26 kesä 2019 06:00;58;0;126;46;109;43;103;63;193;98;96;90;39;91;62;20;0;139;;154
ke 26 kesä 2019 07:00;192;0;252;153;232;66;204;146;199;290;231;231;72;236;151;41;0;306;;329
ke 26 kesä 2019 08:00;251;0;243;206;439;76;234;223;77;487;249;234;87;476;294;93;0;304;;548
ke 26 kesä 2019 09:00;105;0;86;141;339;37;97;50;28;259;156;120;37;393;218;87;0;136;;381
ke 26 kesä 2019 10:00;68;0;58;64;231;25;85;30;42;161;64;59;33;199;132;56;0;58;;184
ke 26 kesä 2019 11:00;72;0;55;75;235;17;70;24;33;153;62;43;28;182;143;87;0;57;;164
ke 26 kesä 2019 12:00;55;0;66;85;230;14;69;40;47;155;92;53;33;193;174;93;0;69;;194
ke 26 kesä 2019 13:00;63;0;61;71;237;20;66;26;79;131;102;56;54;265;144;106;0;87;;192
ke 26 kesä 2019 14:00;78;0;84;114;241;26;100;130;152;180;162;78;57;234;182;101;0;89;;221
ke 26 kesä 2019 15:00;153;0;166;201;352;48;188;1;214;354;277;164;112;314;279;129;0;224;;363
ke 26 kesä 2019 16:00;237;0;274;256;582;81;282;136;2;460;337;262;137;573;411;182;0;310;;586
ke 26 kesä 2019 17:00;254;0;244;251;567;77;241;142;8;466;302;221;108;622;433;180;0;256;;534
ke 26 kesä 2019 18:00;183;0;128;157;343;39;175;86;59;333;200;172;93;460;276;113;0;131;;370
ke 26 kesä 2019 19:00;85;0;72;81;241;28;119;46;62;210;122;109;55;285;189;94;0;88;;229
ke 26 kesä 2019 20:00;52;0;63;72;188;28;95;28;38;198;112;89;42;227;142;84;0;72;;168
ke 26 kesä 2019 21:00;24;0;30;31;117;19;49;16;34;88;59;53;34;119;86;69;0;51;;100
ke 26 kesä 2019 22:00;13;0;13;28;54;8;34;7;19;59;43;30;14;73;39;40;0;44;;50
ke 26 kesä 2019 23:00;0;0;8;9;50;4;10;3;8;30;9;5;5;36;40;22;0;16;;26
to 27 kesä 2019 00:00;5;0;1;10;26;1;12;1;6;15;4;1;2;21;18;14;0;6;;16
to 27 kesä 2019 01:00;3;0;0;4;8;1;9;3;3;7;1;3;1;6;23;14;0;2;;11
to 27 kesä 2019 02:00;0;0;1;3;12;1;3;0;0;10;0;0;3;6;12;5;0;3;;3
to 27 kesä 2019 03:00;0;0;3;1;1;1;5;1;0;7;2;1;0;6;3;4;0;1;;5
to 27 kesä 2019 04:00;0;0;5;1;22;2;5;3;1;11;2;2;1;4;5;3;0;6;;9
to 27 kesä 2019 05:00;12;0;25;12;70;6;13;5;14;16;14;12;1;11;12;10;0;28;;26
to 27 kesä 2019 06:00;41;0;90;31;74;20;72;29;83;63;65;63;31;54;56;22;0;110;;125
to 27 kesä 2019 07:00;120;0;162;95;122;37;134;52;115;168;176;174;54;150;92;35;0;187;;218
to 27 kesä 2019 08:00;166;0;162;155;247;50;135;77;119;339;178;172;56;298;170;60;0;214;;412
to 27 kesä 2019 09:00;92;0;73;92;194;18;77;32;46;222;79;82;36;223;150;63;0;100;;264
to 27 kesä 2019 10:00;36;0;25;48;115;18;36;9;30;174;36;40;25;111;97;49;0;49;;137
to 27 kesä 2019 11:00;33;0;34;30;114;7;42;51;19;101;30;40;27;101;102;59;0;43;;97
to 27 kesä 2019 12:00;31;0;17;74;124;13;49;32;23;60;55;24;27;168;91;49;0;39;;92
to 27 kesä 2019 13:00;28;0;30;83;129;10;44;22;27;69;46;32;19;145;89;54;0;56;;130
to 27 kesä 2019 14:00;51;0;56;82;185;19;55;16;37;141;84;54;44;150;128;69;0;70;;194
to 27 kesä 2019 15:00;105;0;116;101;271;29;115;35;91;179;149;103;62;242;225;106;0;163;;275
to 27 kesä 2019 16:00;182;0;172;190;403;54;172;59;148;308;224;165;103;418;302;139;0;223;;409
to 27 kesä 2019 17:00;182;0;170;195;410;43;154;77;131;335;237;178;107;456;333;152;0;200;;437
to 27 kesä 2019 18:00;152;0;116;145;335;39;111;59;84;297;215;161;76;380;262;145;0;112;;328
to 27 kesä 2019 19:00;101;0;79;90;279;36;121;55;45;314;175;115;59;365;216;136;0;72;;275
to 27 kesä 2019 20:00;92;0;53;112;244;25;103;64;62;195;170;100;66;276;159;104;0;81;;204
to 27 kesä 2019 21:00;55;0;66;50;135;23;69;36;44;154;113;67;36;201;104;83;0;54;;161
to 27 kesä 2019 22:00;21;0;30;33;70;12;49;11;12;97;55;52;22;102;74;61;0;29;;86
to 27 kesä 2019 23:00;11;0;13;15;60;5;25;4;12;50;26;8;9;66;48;38;0;21;;51
pe 28 kesä 2019 00:00;4;0;9;7;27;12;20;4;3;27;11;10;10;28;40;35;0;7;;24
pe 28 kesä 2019 01:00;3;0;4;5;20;3;9;2;4;20;4;4;4;14;15;30;0;7;;13
pe 28 kesä 2019 02:00;0;0;4;4;12;1;3;0;2;9;3;5;2;3;12;16;0;6;;5
pe 28 kesä 2019 03:00;1;0;3;5;14;7;6;0;0;4;1;0;0;7;8;10;0;1;;4
pe 28 kesä 2019 04:00;2;0;5;3;16;2;12;0;2;13;4;0;3;7;7;14;0;5;;12
pe 28 kesä 2019 05:00;11;0;28;15;16;6;19;5;15;21;17;15;5;16;11;10;0;31;;29
pe 28 kesä 2019 06:00;59;0;119;49;98;29;118;49;119;96;89;105;43;75;66;16;0;143;;139
pe 28 kesä 2019 07:00;226;0;256;160;207;65;210;99;197;258;246;237;98;260;144;44;0;292;;308
pe 28 kesä 2019 08:00;255;0;231;234;427;69;254;94;177;464;280;268;99;523;275;91;0;285;;555
pe 28 kesä 2019 09:00;137;0;103;179;324;31;113;52;84;299;163;153;54;407;234;89;0;148;;386
pe 28 kesä 2019 10:00;79;0;60;73;174;23;98;35;53;209;158;75;42;282;139;80;0;100;;223
pe 28 kesä 2019 11:00;88;0;59;72;260;20;100;55;39;201;118;68;48;526;159;104;0;81;;174
pe 28 kesä 2019 12:00;112;0;78;88;281;31;81;81;57;173;144;83;51;291;198;105;0;86;;223
pe 28 kesä 2019 13:00;104;0;79;84;257;28;127;45;61;221;176;73;52;592;197;118;0;100;;229
pe 28 kesä 2019 14:00;133;0;111;105;319;27;173;67;69;285;221;103;65;326;250;117;0;111;;310
pe 28 kesä 2019 15:00;187;0;214;202;410;79;233;83;178;361;343;254;129;403;301;158;0;257;;401
pe 28 kesä 2019 16:00;266;0;267;252;478;80;285;119;212;445;376;285;144;577;393;184;0;300;;538
pe 28 kesä 2019 17:00;207;0;197;208;475;71;228;107;131;394;315;207;99;512;364;168;0;184;;434
pe 28 kesä 2019 18:00;137;0;108;126;316;35;184;64;92;316;209;145;71;410;263;160;0;134;;311
pe 28 kesä 2019 19:00;102;0;87;122;238;34;144;52;58;249;189;96;46;303;173;140;0;93;;247
pe 28 kesä 2019 20:00;74;0;49;92;199;26;99;46;50;213;129;83;75;257;118;134;0;66;;180
pe 28 kesä 2019 21:00;49;0;51;67;158;26;85;32;42;156;136;82;31;169;95;130;0;75;;147
pe 28 kesä 2019 22:00;46;0;29;50;130;10;63;16;33;91;49;41;23;132;102;91;0;46;;65
pe 28 kesä 2019 23:00;23;0;16;22;87;14;39;4;20;74;27;30;13;128;83;85;0;37;;72
la 29 kesä 2019 00:00;17;0;21;20;107;11;57;11;11;60;28;27;11;68;69;80;0;28;;55
la 29 kesä 2019 01:00;3;0;8;11;62;9;39;7;11;44;3;10;16;45;57;59;0;12;;43
la 29 kesä 2019 02:00;8;0;4;8;38;9;12;7;2;37;6;7;10;21;39;28;0;4;;16
la 29 kesä 2019 03:00;4;0;4;7;31;3;13;0;0;25;5;5;3;18;18;30;0;2;;11
